years_interp,seconds_interp,seconds_zero,sunspots_interp
1803.1849315068464,56865239999.99991,3238271999.9999084,72.80821917809153
1803.2945205479423,56868695999.99991,3241727999.9999084,72.45753424658469
1803.4041095890382,56872151999.99991,3245183999.9999084,72.10684931507785
1803.513698630134,56875607999.99991,3248639999.9999084,71.90136986299203
1803.62328767123,56879063999.99991,3252095999.9999084,72.7123287671016
1803.7328767123258,56882519999.99991,3255551999.9999084,73.52328767121116
1803.8424657534217,56885975999.99991,3259007999.9999084,74.33424657532073
1803.9520547945176,56889431999.99991,3262463999.9999084,75.1452054794303
1804.0616438356135,56892887999.99991,3265919999.9999084,75.95616438353986
1804.1712328767094,56896343999.99991,3269375999.9999084,76.76712328764943
1804.2808219178053,56899799999.99991,3272831999.9999084,77.578082191759
1804.3904109589012,56903255999.99991,3276287999.9999084,78.38904109586856
1804.499999999997,56906711999.99991,3279743999.9999084,79.19999999997813
1804.609589041093,56910167999.99991,3283199999.9999084,78.22465753427291
1804.7191780821888,56913623999.99991,3286655999.9999084,77.24931506851952
1804.8287671232847,56917079999.99991,3290111999.9999084,76.27397260276612
1804.9383561643806,56920535999.99991,3293567999.9999084,75.29863013701272
1805.0479452054765,56923991999.99991,3297023999.9999084,74.32328767125932
1805.1575342465724,56927447999.99991,3300479999.9999084,73.34794520550592
1805.2671232876683,56930903999.99991,3303935999.9999084,72.37260273975252
1805.3767123287641,56934359999.99991,3307391999.9999084,71.39726027399912
1805.48630136986,56937815999.99991,3310847999.9999084,70.42191780824574
1805.595890410956,56941271999.99991,3314303999.9999084,68.04657534253595
1805.7054794520518,56944727999.99991,3317759999.9999084,65.4712328767826
1805.8150684931477,56948183999.99991,3321215999.9999084,62.89589041102924
1805.9246575342436,56951639999.99991,3324671999.9999084,60.32054794527589
1806.0342465753395,56955095999.99991,3328127999.9999084,57.74520547952254
1806.1438356164354,56958551999.99991,3331583999.9999084,55.16986301376919
1806.2534246575312,56962007999.99991,3335039999.9999084,52.594520548015836
1806.3630136986271,56965463999.99991,3338495999.9999084,50.019178082262485
1806.472602739723,56968919999.99991,3341951999.9999084,47.44383561650913
1806.582191780819,56972375999.99991,3345407999.9999084,44.334246575432914
1806.6917808219148,56975831999.99991,3348863999.9999084,41.046575342556295
